Subject,Predicate,Object
Portrait,rdf:type,dbo:Artwork
Portrait,owl:sameAs,https://mcid.mcah.columbia.edu/photographic-print/2023_photocoll_0449_0096
Portrait,crm:P102_has_title,Nude Girl Standing With Long Black Hair & Blue-Black Drape
Portrait,dcterms:created,1911
Portrait,dc:creator,Egon Schiele
Portrait,crm:P2_has_type,Portrait
Portrait,cdwa:CurrentLocation,Columbia University
Portrait,cdwa:MaterialTechniqueDescription,Pencil and watercolor
Portrait,cdwa:DimensionDescription,56.5 x 35 cm
Portrait,dc:subject,Young woman with long hair
Portrait,dcterms:isReferencedBy,Article 
Egon Schiele,rdf:type,crm:E21Person
Egon Schiele,owl:sameAs,https://www.wikidata.org/wiki/Q44032
Egon Schiele,cdwa:Style,Expressionism
Columbia University,rdf:type,crm:E78_Curated_Holding
Columbia University,owl:sameAs,https://www.wikidata.org/wiki/Q49088
Columbia University,dcterms:spatial,New York City
New York City,rdf:type,crm:E53_Place
New York City,owl:sameAs,https://dbpedia.org/page/New_York_City
New York City,dcterms:isPartOf,USA
