Subject,Predicate,Object
Monument,rdf:type,dbo:Monument
Monument,owl:sameAs,https://www.wikidata.org/wiki/Q43244
Monument,crm:P102_has_title,Lighthouse of Alexandria
Monument,dcterms:created,284-246 BC
Monument,cdwa:Commissioner,Ptolemy I Soter
Monument,schema:containedInPlace,Pharos
Monument,cdwa:MaterialTechniqueDescription,Lightcoloured stone
Monument,cdwa:DimensionDescription,103-118 meter
Monument,dbp:yeardeactivated,1303
Monument,dcterms:isPartOf,Seven Wonders of the Ancient World
Ptolemy I Soter,rdf:type,crm:E21Person
Ptolemy I Soter,owl:sameAs,https://dbpedia.org/page/Ptolemy_I_Soter
Ptolemy I Soter,foaf:member,Ptolemaic dinasty
284-246 BC,rdf:type,crm:E52_Time-Span
284-246 BC,crm:P82a_begin_of_the_begin,"-284"
284-246 BC,crm:P82b_end_of_the_end,"-246"
Pharos,rdf:type,crm:E53_Place
Pharos,owl:sameAs,https://www.wikidata.org/wiki/Q2696558
Pharos,schema:containedInPlace,Alexandria
Alexandria,rdf:type,crm:E53_Place
Alexandria,owl:sameAs,https://dbpedia.org/page/Alexandria
Alexandria,schema:containedInPlace,Egypt
Seven Wonders of the Ancient World,rdf:type,crm:E74_Group
Seven Wonders of the Ancient World,owl:sameAs,https://www.wikidata.org/wiki/Q489772
